source,target,value,uf,regiao,count,tipo,funcao
Aparecida de Goiânia,Monitoramento do fluxo de pessoas,1,GO,Centro-Oeste,41,regiao,Monitoramento do fluxo de pessoas
Aparecida de Goiânia,Monitoramento do fluxo de pessoas,1,GO,Centro-Oeste,41,regiao,Monitoramento do fluxo de pessoas
Caldas Novas,Monitoramento do fluxo de pessoas,1,GO,Centro-Oeste,41,regiao,Monitoramento do fluxo de pessoas
Brasília,Telemedicina,1,DF,Centro-Oeste,37,regiao,Telemedicina
Luziânia,Telemedicina,1,GO,Centro-Oeste,37,regiao,Telemedicina
Luziânia,Telemedicina,1,GO,Centro-Oeste,37,regiao,Telemedicina
Campo Grande,Telemedicina,1,MS,Centro-Oeste,37,regiao,Telemedicina
Campo Grande,Telemedicina,1,MS,Centro-Oeste,37,regiao,Telemedicina
Aparecida de Goiânia,Rastreamento de contatos,1,GO,Centro-Oeste,11,regiao,Rastreamento de contatos
Aparecida de Goiânia,Digitalização de serviços públicos,1,GO,Centro-Oeste,3,regiao,Digitalização de serviços públicos
Maceió,Monitoramento do fluxo de pessoas,1,AL,Nordeste,41,regiao,Monitoramento do fluxo de pessoas
Campina Grande,Monitoramento do fluxo de pessoas,1,PB,Nordeste,41,regiao,Monitoramento do fluxo de pessoas
João Pessoa,Monitoramento do fluxo de pessoas,1,PB,Nordeste,41,regiao,Monitoramento do fluxo de pessoas
Caruaru,Monitoramento do fluxo de pessoas,1,PE,Nordeste,41,regiao,Monitoramento do fluxo de pessoas
Recife,Monitoramento do fluxo de pessoas,1,PE,Nordeste,41,regiao,Monitoramento do fluxo de pessoas
Recife,Monitoramento do fluxo de pessoas,1,PE,Nordeste,41,regiao,Monitoramento do fluxo de pessoas
Teresina,Monitoramento do fluxo de pessoas,1,PI,Nordeste,41,regiao,Monitoramento do fluxo de pessoas
Teresina,Monitoramento do fluxo de pessoas,1,PI,Nordeste,41,regiao,Monitoramento do fluxo de pessoas
Aracaju,Monitoramento do fluxo de pessoas,1,SE,Nordeste,41,regiao,Monitoramento do fluxo de pessoas
Jaboatão dos Guararapes,Telemedicina,1,PE,Nordeste,37,regiao,Telemedicina
Recife,Telemedicina,1,PE,Nordeste,37,regiao,Telemedicina
Teresina,Telemedicina,1,PI,Nordeste,37,regiao,Telemedicina
Salvador,Monitoramento de temperatura,1,BA,Nordeste,17,regiao,Monitoramento de temperatura
Vitória da Conquista,Mapeamento da evolução da COVID-19,1,BA,Nordeste,17,regiao,Mapeamento da evolução da COVID-19
Fortaleza,Monitoramento de temperatura,1,CE,Nordeste,17,regiao,Monitoramento de temperatura
João Pessoa,Monitoramento de temperatura,1,PB,Nordeste,17,regiao,Monitoramento de temperatura
João Pessoa,Mapeamento da evolução da COVID-19,1,PB,Nordeste,17,regiao,Mapeamento da evolução da COVID-19
