source,target,value,uf,regiao,count,tipo,funcao
Aparecida de Goiânia,Inloco,1,GO,Centro-Oeste,27,regiao,
Caldas Novas,Inloco,1,GO,Centro-Oeste,27,regiao,
Aparecida de Goiânia,ABR Telecom,1,GO,Centro-Oeste,2,regiao,
Aparecida de Goiânia,LifesHub,1,GO,Centro-Oeste,2,regiao,
Luziânia,"IMED – Inst. de Med., Estudos e Desenv.",1,GO,Centro-Oeste,2,regiao,
Campo Grande,Prefeitura Campo Grande,1,MS,Centro-Oeste,2,regiao,
Brasília,Huawei,1,DF,Centro-Oeste,1,regiao,
Aparecida de Goiânia,Prefeitura de Aparecida de Goiânia,1,GO,Centro-Oeste,1,regiao,
João Pessoa,Inloco,1,PB,Nordeste,27,regiao,
Caruaru,Inloco,1,PE,Nordeste,27,regiao,
Recife,Inloco,1,PE,Nordeste,27,regiao,
Teresina,Inloco,1,PI,Nordeste,27,regiao,
Aracaju,Inloco,1,SE,Nordeste,27,regiao,
Salvador,Não Localizada,1,BA,Nordeste,5,regiao,
Teresina,Scipopulis,1,PI,Nordeste,5,regiao,
João Pessoa,Dahua Technology,1,PB,Nordeste,3,regiao,
Maceió,ABR Telecom,1,AL,Nordeste,2,regiao,
Recife,Brainy Resolution,1,PE,Nordeste,2,regiao,
Aracaju,Unale,1,SE,Nordeste,2,regiao,
Araguaína,Ministério da Saúde,1,TO,Nordeste,2,regiao,
Salvador,Agência Nacional de Aviação Civil,1,BA,Nordeste,1,regiao,
Vitória da Conquista,Prefeitura de Vitória da Conquista,1,BA,Nordeste,1,regiao,
Fortaleza,HSH - Instal. e Manut. de Equip. Eletrônicos,1,CE,Nordeste,1,regiao,
Campina Grande,Nuveo Technologies,1,PB,Nordeste,1,regiao,
João Pessoa,EduSim,1,PB,Nordeste,1,regiao,
João Pessoa,Sec. da Fazenda de João Pessoa,1,PB,Nordeste,1,regiao,
Jaboatão dos Guararapes,Prefeitura de Jaboatão dos Guararapes,1,PE,Nordeste,1,regiao,
Recife,Mamba Labs,1,PE,Nordeste,1,regiao,
Recife,Núcleo de Gestão do Porto Digital,1,PE,Nordeste,1,regiao,
Recife,Prefeitura do Recife,1,PE,Nordeste,1,regiao,
Teresina,Colab,1,PI,Nordeste,1,regiao,
Parnamirim,Ministério Público RN,1,RN,Nordeste,1,regiao,
Aracaju,Prefeitura de Aracaju,1,SE,Nordeste,1,regiao,
Aracaju,Universidade Federal de Sergipe; Prefeitura de Aracaju,1,SE,Nordeste,1,regiao,
Rio Branco,Inloco,1,AC,Norte,27,regiao,
Macapá,Inloco,1,AP,Norte,27,regiao,
Manaus,Sec. da Saúde de Manaus,1,AM,Norte,2,regiao,
Porto Velho,Brainy Resolution,1,RO,Norte,2,regiao,
Governador Valadares,Inloco,1,MG,Sudeste,27,regiao,
Varginha,Inloco,1,MG,Sudeste,27,regiao,
Niterói,Inloco,1,RJ,Sudeste,27,regiao,
Rio de Janeiro,Inloco,1,RJ,Sudeste,27,regiao,
Teresópolis,Inloco,1,RJ,Sudeste,27,regiao,
Campinas,Inloco,1,SP,Sudeste,27,regiao,
Jacareí,Inloco,1,SP,Sudeste,27,regiao,
Santo André,Inloco,1,SP,Sudeste,27,regiao,
São Carlos,Inloco,1,SP,Sudeste,27,regiao,
São Paulo,Inloco,1,SP,Sudeste,27,regiao,
Belo Horizonte,Scipopulis,1,MG,Sudeste,5,regiao,
Juiz de Fora,Instituto D'Or de Pesquisa e Ensino,1,MG,Sudeste,5,regiao,
Campos dos Goytacazes,Instituto D'Or de Pesquisa e Ensino,1,RJ,Sudeste,5,regiao,
Macaé,Instituto D'Or de Pesquisa e Ensino,1,RJ,Sudeste,5,regiao,
Nova Iguaçu,Instituto D'Or de Pesquisa e Ensino,1,RJ,Sudeste,5,regiao,
Rio de Janeiro,Scipopulis,1,RJ,Sudeste,5,regiao,
